Variable_Code,Type,Question_Text,Response_Options_Full
Q29P,Ordinal,Men make better political leaders than women do (+),Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Agree strongly
Q2P,Ordinal,Important in life: Friends (+),Code 1: Not at all important | Code 2: Not very important | Code 3: Rather important | Code 4: Very important
Q30P,Ordinal,University is more important for a boy than for a girl (+),Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Agree strongly
Q31P,Ordinal,Men make better business executives than women do (+),Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Agree strongly
Q32P,Ordinal,Being a housewife just as fulfilling (+),Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Agree strongly
Q33P,Ordinal,Jobs scarce: Men should have more right to a job than women (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q34P,Ordinal,Jobs scarce: Employers should give priority to (nation) people than immigrants (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q35P,Ordinal,Problem if women have more income than husband (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q36P,Ordinal,Homosexual couples are as good parents as other couples (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q37P,Ordinal,Duty towards society to have children (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q38P,Ordinal,It is child's duty to take care of ill parent (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q39P,Ordinal,People who don't work turn lazy (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q3P,Ordinal,Important in life: Leisure time (+),Code 1: Not at all important | Code 2: Not very important | Code 3: Rather important | Code 4: Very important
Q40P,Ordinal,Work is a duty towards society (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q41P,Ordinal,Work should come first even if it means less spare time (+),Code 1: Disagree strongly | Code 2: Disagree | Code 3: Neither agree nor disagree | Code 4: Agree | Code 5: Agree strongly
Q42,Ordinal,Basic kinds of attitudes concerning society,Code 1: The entire way our society is organized must be radically changed by revolutionary action | Code 2: Our society must be gradually improved by reforms | Code 3: Our present society must be valiantly defended against all subversive forces
Q43P,Ordinal,Future changes: Less importance placed on work (+),Code 1: Bad | Code 2: Don’t mind | Code 3: Good
Q44P,Ordinal,Future changes: More emphasis on technology (+),Code 1: Bad | Code 2: Don’t mind | Code 3: Good
Q45P,Ordinal,Future changes: Greater respect for authority (+),Code 1: Bad | Code 2: Don’t mind | Code 3: Good
Q46P,Ordinal,Feeling of happiness (+),Code 1: Not at all happy | Code 2: Not very happy | Code 3: Quite happy | Code 4: Very happy
Q47P,Ordinal,State of health (subjective) (+),Code 1: Very poor | Code 2: Poor | Code 3: Fair | Code 4: Good | Code 5: Very good
Q48,Ordinal,How much freedom of choice and control,Code 1: None at all | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: A great deal
Q49,Ordinal,Satisfaction with your life,Code 1: Completely dissatisfied | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely satisfied
Q4P,Ordinal,Important in life: Politics (+),Code 1: Not at all important | Code 2: Not very important | Code 3: Rather important | Code 4: Very important
Q50,Ordinal,Satisfaction with financial situation of household,Code 1: Dissatisfied | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Satisfied
Q51P,Ordinal,Frequency you/family (last 12 month): Gone without enough food to eat (+),Code 1: Never | Code 2: Rarely | Code 3: Sometimes | Code 4: Often
Q52P,Ordinal,Frequency you/family (last 12 month): Felt unsafe from crime in your own home (+),Code 1: Never | Code 2: Rarely | Code 3: Sometimes | Code 4: Often
Q53P,Ordinal,Frequency you/family (last 12 month): Gone without needed medicine or treatment that you needed (+),Code 1: Never | Code 2: Rarely | Code 3: Sometimes | Code 4: Often
Q54P,Ordinal,Frequency you/family (last 12 month): Gone without a cash income (+),Code 1: Never | Code 2: Rarely | Code 3: Sometimes | Code 4: Often
Q55P,Ordinal,"In the last 12 month, how often have you or your family: Gone without a safe shelter over your head (+)",Code 1: Never | Code 2: Rarely | Code 3: Sometimes | Code 4: Often
Q56P,Ordinal,Standard of living comparing with your parents (+),Code 1: Or about the same | Code 2: Worse off | Code 3: Better off
Q57P,Binary,Most people can be trusted,Code 1: Need to be very careful | Code 2: Most people can be trusted
Q58P,Ordinal,Trust: Your family (+),Code 1: Do not trust at all | Code 2: Do not trust very much | Code 3: Trust somewhat | Code 4: Trust completely
Q59P,Ordinal,Trust: Your neighborhood (B) (+),Code 1: Do not trust at all | Code 2: Do not trust very much | Code 3: Trust somewhat | Code 4: Trust completely
Q5P,Ordinal,Important in life: Work (+),Code 1: Not at all important | Code 2: Not very important | Code 3: Rather important | Code 4: Very important
Q60P,Ordinal,Trust: People you know personally (+),Code 1: Do not trust at all | Code 2: Do not trust very much | Code 3: Trust somewhat | Code 4: Trust completely
Q61P,Ordinal,Trust: People you meet for the first time (+),Code 1: Do not trust at all | Code 2: Do not trust very much | Code 3: Trust somewhat | Code 4: Trust completely
Q62P,Ordinal,Trust: People of another religion (+),Code 1: Do not trust at all | Code 2: Do not trust very much | Code 3: Trust somewhat | Code 4: Trust completely
Q63P,Ordinal,Trust: People of another nationality (+),Code 1: Do not trust at all | Code 2: Do not trust very much | Code 3: Trust somewhat | Code 4: Trust completely
Q64P,Ordinal,Confidence: Churches (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q65P,Ordinal,Confidence: Armed Forces (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q66P,Ordinal,Confidence: The Press (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q67P,Ordinal,Confidence: Television (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q68P,Ordinal,Confidence: Labor Unions (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q69P,Ordinal,Confidence: The Police (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q6P,Ordinal,Important in life: Religion (+),Code 1: Not at all important | Code 2: Not very important | Code 3: Rather important | Code 4: Very important
Q70P,Ordinal,Confidence: Justice System/Courts (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q71P,Ordinal,Confidence: The Government (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q72P,Ordinal,Confidence: The Political Parties (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q73P,Ordinal,Confidence: Parliament (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q74P,Ordinal,Confidence: The Civil Services (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q75P,Ordinal,Confidence: Universities (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q76P,Ordinal,Confidence: Elections (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q77P,Ordinal,Confidence: Major Companies (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q78P,Ordinal,Confidence: Banks (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q79P,Ordinal,Confidence: The Environmental Protection Movement (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q7P,Binary,Important child qualities: good manners (+),Code 0: Not mentioned | Code 1: Important
Q80P,Ordinal,Confidence: The Women's Movement (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q81P,Ordinal,Confidence: Charitable or humanitarian organizations (+),Code 1: None at all | Code 2: Not very much | Code 3: Quite a lot | Code 4: A great deal
Q8P,Binary,Important child qualities: independence (+),Code 0: Not mentioned | Code 1: Important
Q90,Ordinal,International organizations: being effective vs being democratic,Code 1: Being effective | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Being democratic
Q9P,Binary,Important child qualities: hard work (+),Code 0: Not mentioned | Code 1: Important
