Variable_Code,Question_Text,Selected,Reason_for_Selection
Q243,Democracy: People choose their leaders in free elections,Yes,"Selected; believing that people choosing their leaders in free elections is essential to democracy is fundamental – although likely widely agreed, it indicates understanding of democracy and can highlight differences in emphasis or misunderstanding across contexts."
Q244,Democracy: People receive state aid for unemployment,No,Not selected; state aid for the unemployed as a component of democracy overlaps with the broader item on economic equality (Q241) and is thus redundant.
Q245,Democracy: The army takes over when government is incompetent,Yes,"Selected; the idea that the army stepping in when the government is incompetent could be part of democracy tests tolerance for military intervention in politics. Endorsement of this varies by political culture, indicating authoritarian vs democratic values, so it's important to include."
Q246,Democracy: Civil rights protect people’s liberty against oppression,Yes,"Selected; seeing civil rights protection as essential to democracy reflects values of liberty and rule of law, a core democratic principle – while often agreed upon, the strength of endorsement can vary and is important to capture."
Q247,Democracy: The state makes people's incomes equal,No,"Not selected; the state making people's incomes equal is another economic equality perspective, similar to Q241. To avoid duplication in the democracy attributes section, this item is excluded since the concept of economic equality in democracy is already captured."
Q248,Democracy: People obey their rulers,Yes,"Selected; belief that people must obey their rulers as part of democracy indicates an authoritarian interpretation of democracy (emphasizing order over freedom). This misunderstanding or value tilt varies (some populations stress obedience to authority, others do not), making it a revealing attitude to compare."
Q249,Democracy: Women have the same rights as men,Yes,"Selected; belief that women having the same rights as men is essential to democracy ties gender equality to democratic values. In many places it's assumed essential, but in some traditional contexts people might not see it that way. It captures the link between gender values and political values, which is important to measure."
Q250,Importance of democracy,Yes,"Selected; it directly measures how important democracy is to the respondent. This indicates commitment to democratic values versus indifference, which varies across individuals and societies, on a clear 10-point importance scale."
Q251,How democratically is this country being governed today,No,"Not selected; it asks how democratically the country is governed (perception of current system). This is a context evaluation, not the respondent’s own values. It's excluded because it reflects external reality more than personal belief."
Q252,Satisfaction with the political system performance,No,"Not selected; satisfaction with the political system’s performance is an opinion on current conditions, not a core value or belief. It's highly context-dependent, so it’s not included for value comparison."
Q253P,Respect for individual human rights nowadays (+),No,"Not selected; it gauges current respect for human rights in the country, which is an external assessment of the regime's performance rather than the respondent’s values. Thus, it’s outside the scope of personal values and excluded."
Q254P,How proud of nationality (+),Yes,"Selected; pride in one's nationality is a core attitude reflecting nationalism vs cosmopolitanism, with strong variation across countries and demographics, clearly measured by degree of pride."
Q255P,"How close you feel: Your [village, town or city] (+)",Yes,"Selected; feeling of closeness to one's town/city (local community attachment) reflects the strength of local identity. This can vary (some feel very attached locally, others less so especially in mobile or individualistic societies), providing insight into community-oriented values."
Q256P,I see myself as member of my local community (+),No,"Not selected; seeing oneself as a member of the local community is very similar to Q255P’s concept of local attachment. It’s redundant with Q255P, so we exclude this to avoid duplication."
Q257P,I see myself as citizen of the [country] nation (+),No,"Not selected; identifying as a citizen of the nation is largely captured by national pride (Q254P) and is a similar measure of national attachment, thus redundant."
Q258P,"How close you feel: Continent; e.g. Europe, Asia etc.] (+)",No,Not selected; feeling close to one’s continent is a more region-specific identity that may not be universally meaningful and overlaps with local/global identity measures; excluded to streamline the set.
Q259P,How close you feel: World (+),Yes,"Selected; feeling of closeness to the world (global identity) reflects cosmopolitanism, a value that contrasts with local/national focus and varies among individuals and cultures, making it a relevant attitude to compare."
Q25P,Neighbors: Unmarried couples living together (+),Yes,"Selected; unwillingness to have unmarried couples living together as neighbors reflects traditional vs liberal attitudes toward cohabitation and family norms. In more traditional societies this is frowned upon, while in liberal ones it's accepted, hence it's a telling social values indicator."
Q26P,Neighbors: People who speak a different language (+),Yes,"Selected; not wanting neighbors who speak a different language indicates cultural/linguistic intolerance vs openness. This attitude varies especially in mono-ethnic vs multi-ethnic societies, reflecting openness to diversity in daily life."
Q27P,One of main goals in life has been to make my parents proud (+),Yes,"Selected; having as a life goal to make my parents proud reflects filial piety and family orientation, a value that varies across cultures (strong in collectivist societies, less emphasized in individualist ones), clearly indicating a core value stance."
Q28P,Pre-school child suffers with working mother (+),Yes,"Selected; belief that a preschool child suffers if the mother works captures traditional vs modern views on gender roles and child-rearing, a significant attitude differing across societies and generations."
Q29P,Men make better political leaders than women do (+),Yes,"Selected; view that men make better political leaders than women is a direct measure of gender bias in leadership, which varies globally and by demographics, reflecting a core attitude about gender equality."
Q2P,Important in life: Friends (+),Yes,"Selected; importance of friends in one's life is a value priority that can vary (some cultures put more emphasis on friendship vs family or work), providing insight into social value differences with an ordinal scale."
Q30P,University is more important for a boy than for a girl (+),Yes,"Selected; agreement that university is more important for a boy than a girl measures educational gender bias, directly reflecting attitudes toward gender equality in education, with clear variation in traditional vs egalitarian contexts."
Q31P,Men make better business executives than women do (+),No,"Not selected; believing men are better business executives is another gender stereotype similar to Q29P (men better leaders). It's redundant in measuring gender bias, thus excluded to avoid duplication."
Q32P,Being a housewife just as fulfilling (+),Yes,"Selected; the view that being a housewife is as fulfilling as having a job reflects attitudes on women's role and fulfillment, varying by traditional vs modern outlook (some value homemaking equally, others see career as necessary for fulfillment)."
Q33P,Jobs scarce: Men should have more right to a job than women (+),Yes,"Selected; the idea that men should have more right to a job than women when jobs are scarce is a stark indicator of gender-based discrimination in economic opportunities, a core value difference that varies widely across societies."
Q34P,Jobs scarce: Employers should give priority to (nation) people than immigrants (+),Yes,"Selected; belief that employers should give priority to natives over immigrants for jobs when jobs are scarce reflects nationalist vs cosmopolitan economic values, which differ significantly across countries and groups."
Q35P,Problem if women have more income than husband (+),Yes,"Selected; thinking it would be a problem if a wife earns more than her husband indicates traditional gender norms vs egalitarian views in the household, a value attitude that varies by culture and gender norms."
Q36P,Homosexual couples are as good parents as other couples (+),No,"Not selected; believing homosexual couples are as good parents as others is closely related to general attitudes toward homosexuality (already covered by Q182). It is somewhat redundant since acceptance of gay parenting likely correlates with general acceptance of homosexuality, so it's excluded."
Q37P,Duty towards society to have children (+),Yes,"Selected; viewing having children as a duty to society reflects pronatalist values vs individual choice, which varies (some societies pressure childbearing as duty, others emphasize personal choice), making it a relevant attitude."
Q38P,It is child's duty to take care of ill parent (+),Yes,"Selected; belief that it's a child's duty to take care of an ill parent (filial obligation) reflects family responsibility values, which differ culturally (strong filial piety in some societies vs more individualistic expectations elsewhere)."
Q39P,People who don't work turn lazy (+),Yes,"Selected; the idea that people who don't work become lazy reflects a work ethic and view of unemployment (blame on individual vs circumstances), which varies across cultures (some have strong work ethic norm, others more sympathetic), indicating core attitude differences."
Q3P,Important in life: Leisure time (+),Yes,"Selected; importance of leisure time reflects a value on work-life balance vs work centrism, varying by culture (some prioritize leisure and quality of life more, others emphasize work), making it a key lifestyle value indicator."
Q40P,Work is a duty towards society (+),No,"Not selected; the statement that work is a duty to society overlaps with other work ethic items (like Q39P) in emphasizing moral obligation to work. It's excluded as its core idea is captured by related included items, to avoid redundancy."
Q41P,Work should come first even if it means less spare time (+),Yes,"Selected; the view that work should come first even at the cost of less spare time reflects prioritization of work over leisure, indicative of a work-centric vs balanced lifestyle value, which can vary across groups."
Q42,Basic kinds of attitudes concerning society,Yes,"Selected; this item outlines basic attitudes toward societal change (revolutionary change, gradual reform, or defending the status quo). This encapsulates one's orientation towards social change vs stability, which is a fundamental political attitude that varies by ideology and context."
Q43P,Future changes: Less importance placed on work (+),No,"Not selected; opinion on placing less importance on work in the future is essentially a hypothetical scenario reflecting work ethic values, which are already captured by other items (like Q39P, Q41P). It's redundant in measuring attitudes toward work."
Q44P,Future changes: More emphasis on technology (+),No,Not selected; attitude toward more emphasis on technology in the future overlaps with general attitudes toward science/tech (already captured by items like Q163). It's excluded as a redundant measure of pro- or anti-technology sentiment.
Q45P,Future changes: Greater respect for authority (+),No,"Not selected; view on greater respect for authority in the future is a hypothetical variant of attitudes toward authority which are directly measured by other items (e.g., obedience, strong leader), making this item redundant."
Q46P,Feeling of happiness (+),No,"Not selected; happiness level is an outcome/subjective well-being measure, not a core value or attitude that one holds, so it does not meet the criteria of reflecting values."
Q47P,State of health (subjective) (+),No,"Not selected; self-rated health is a personal status, not an attitude or belief, and thus not relevant for comparing values or beliefs."
Q48,How much freedom of choice and control,No,"Not selected; perceived freedom of choice in life is an experiential measure (likely reflecting personal circumstances or societal conditions) rather than a value stance, so it's excluded."
Q49,Satisfaction with your life,No,"Not selected; life satisfaction is a subjective outcome, not a value or belief, and thus falls outside the scope of core values/attitudes for this analysis."
Q4P,Important in life: Politics (+),Yes,"Selected; importance of politics in one's life reflects the value placed on political engagement, which varies (some are apathetic, others passionate), providing insight into civic-mindedness across groups."
Q50,Satisfaction with financial situation of household,No,"Not selected; satisfaction with household financial situation is a personal outcome measure tied to economic conditions, not an indicator of values or attitudes."
Q51P,Frequency you/family (last 12 month): Gone without enough food to eat (+),No,"Not selected; the frequency of going without enough food is an indicator of material hardship, not an attitude or belief, thus not relevant for a values comparison."
Q52P,Frequency you/family (last 12 month): Felt unsafe from crime in your own home (+),No,"Not selected; frequency of feeling unsafe from crime at home is an experience measure, reflecting external conditions rather than personal values."
Q53P,Frequency you/family (last 12 month): Gone without needed medicine or treatment that you needed (+),No,"Not selected; going without needed medicine is a hardship indicator, not a value or attitude."
Q54P,Frequency you/family (last 12 month): Gone without a cash income (+),No,"Not selected; going without a cash income is a measure of poverty experience, not reflecting personal beliefs or values."
Q55P,"In the last 12 month, how often have you or your family: Gone without a safe shelter over your head (+)",No,"Not selected; lacking safe shelter is a situational hardship measure, not a core value or attitude of the respondent."
Q56P,Standard of living comparing with your parents (+),No,"Not selected; comparing one's standard of living to one's parents is an evaluative judgment of social mobility, not an expression of values or beliefs."
Q57P,Most people can be trusted,Yes,"Selected; the general trust question (whether most people can be trusted) is a classic measure of social capital and interpersonal values, with large cross-cultural variations (some societies are high-trust, others low-trust)."
Q58P,Trust: Your family (+),No,"Not selected; trust in one's family is nearly universally high and more of a given than a value-based choice, yielding little variation and limited analytical value."
Q59P,Trust: Your neighborhood (B) (+),No,"Not selected; trust in neighbors, while an attitude, tends to be context-specific and overlaps with general social trust; including the broad trust measure (Q57P) is sufficient, making this one somewhat redundant."
Q5P,Important in life: Work (+),Yes,"Selected; importance of work in life is a key value question (work centrality vs other priorities). While many value work, the degree can differ by culture (some live to work, others work to live). This variation provides a window into the work ethic and life priority differences."
Q60P,Trust: People you know personally (+),No,"Not selected; trust in people you know personally is typically high since these are chosen relationships. It doesn't reveal much about generalized trust or values beyond personal circle and shows little variation (most trust their friends), so it's excluded."
Q61P,Trust: People you meet for the first time (+),No,"Not selected; trust in people met for the first time essentially overlaps with the general trust question (Q57P) in gauging trust in strangers, so it's redundant."
Q62P,Trust: People of another religion (+),No,"Not selected; trust in people of another religion is an intergroup trust measure already covered by the neighbor tolerance item for different religions (Q23P), making it somewhat redundant in capturing religious tolerance."
Q63P,Trust: People of another nationality (+),No,"Not selected; trust in people of another nationality overlaps with the neighbor immigrant tolerance item (Q21P) in assessing xenophobia/cosmopolitan trust, thus excluded to avoid duplication."
Q64P,Confidence: Churches (+),Yes,"Selected; confidence in churches/religious institutions reflects trust in a major social institution and ties to religiosity vs secularism, varying widely across countries (e.g., high in religious societies, low in secular), reflecting an important cultural attitude toward institutions."
Q65P,Confidence: Armed Forces (+),No,"Selected; confidence in the armed forces indicates trust in the military, an institution valued differently across societies (some have high respect for military, others distrust it), providing insight into authority and security values."
Q66P,Confidence: The Press (+),Yes,"Selected; confidence in the press (news media) measures trust in information sources and free media, a crucial aspect of civic values and institutional trust, with notable differences across countries (depending on media freedom and public opinion)."
Q67P,Confidence: Television (+),No,"Not selected; confidence in television news is a similar measure to confidence in the press regarding media trust. Since we've included the press or media in general (Q66P) is sufficient, so this is redundant."
Q68P,Confidence: Labor Unions (+),Yes,"Selected; confidence in labor unions reflects attitudes toward organized labor and workers' representation, varying by political ideology and country (strong union cultures vs not), thus relevant for comparative values."
Q69P,Confidence: The Police (+),Yes,"Selected; confidence in the police gauges trust in law enforcement, a core institution; this varies with experiences of corruption or safety in different societies, and is a key attitude toward authority and order."
Q6P,Important in life: Religion (+),Yes,"Selected; importance of religion in one's life is a fundamental value question distinguishing secular vs religious orientations, with high cross-cultural variance, measured on an ordinal importance scale."
Q70P,Confidence: Justice System/Courts (+),Yes,"Selected; confidence in the justice system/courts measures trust in rule of law institutions, which is crucial for understanding civic values and varies (some societies trust courts, others see them as corrupt)."
Q71P,Confidence: The Government (+),Yes,"Selected; confidence in the government (executive branch) is a key political trust indicator reflecting attitudes toward authority and performance of leaders, varying by national context and personal ideology."
Q72P,Confidence: The Political Parties (+),Yes,"Selected; confidence in political parties assesses trust in the party system, often low in many places and varying widely, which speaks to political cynicism vs trust – an important political attitude to compare."
Q73P,Confidence: Parliament (+),Yes,"Selected; confidence in parliament (legislature) indicates trust in democratic institutions of governance, with variation across countries based on perceived performance and democratic culture."
Q74P,Confidence: The Civil Services (+),No,"Not selected; confidence in the civil service overlaps with overall government trust measures (Q71P) as it pertains to state institutions, making it somewhat redundant in capturing institutional trust."
Q75P,Confidence: Universities (+),No,"Not selected; confidence in universities, while an interesting measure of trust in academia, is less central to core values and typically high in most places (and correlates with general trust in institutions), so it's excluded."
Q76P,Confidence: Elections (+),No,"Not selected; confidence in elections overlaps with specific election fairness perception items already considered (like Q224) and is context-specific, thus excluded to reduce redundancy."
Q77P,Confidence: Major Companies (+),Yes,"Selected; confidence in major companies reflects trust in large business institutions or capitalism, a value-laden attitude (some trust corporations, others are skeptical) that can vary across different economic cultures."
Q78P,Confidence: Banks (+),No,"Not selected; confidence in banks is related to trust in financial institutions, which often correlates with trust in companies or the economy in general; including one broad economic institution (Q77P) suffices, making this redundant."
Q79P,Confidence: The Environmental Protection Movement (+),No,"Not selected; confidence in the environmental protection movement, while value-related (reflecting environmental concern/trust), is somewhat niche and overlaps with general environmental values captured elsewhere (like Q111), so it's excluded."
Q7P,Important child qualities: good manners (+),No,"Not selected; good manners as a child quality is broadly valued and tends to correlate with traditional upbringing values like obedience. Since we've chosen obedience and similar values, this item is largely redundant and offers less differentiation (most agree manners are important), so it's not included."
Q80P,Confidence: The Women's Movement (+),No,"Not selected; confidence in the women's movement is a specific trust measure that overlaps with general attitudes toward gender equality (which are directly measured by other items like Q29P, Q249), thus redundant."
Q81P,Confidence: Charitable or humanitarian organizations (+),No,"Not selected; confidence in charitable/humanitarian organizations is a specialized trust in NGOs which, while interesting, is less about core personal values and more about institutional performance perceptions; it's excluded to focus on broader values."
Q8P,Important child qualities: independence (+),Yes,"Selected; independence as an important child quality represents valuing self-reliance and autonomy, a core value that contrasts with obedience (Q17P) and varies among cultures (individualistic vs collectivist)."
Q90,International organizations: being effective vs being democratic,Yes,"Selected; the preference for international organizations being effective vs democratic captures a global governance value trade-off, reflecting whether people prioritize efficiency or democratic principles internationally, varying by political culture."
Q9P,Important child qualities: hard work (+),Yes,"Selected; hard work as an important child quality reflects emphasis on work ethic and ambition, a core value that can vary (some prioritize it highly, others less so), and it's clearly measured (mentioned or not)."
